"stock","terminal_catch_year","n_retros","fbar_rho","ssb_rho","ssb_intermediate_year","rec_rho","rec_intermediate_year","expert_opinion","modified","year"
"her.27.nirs","2017","5","0.009662873","0.1577038","No","-0.1482103","No","","3/19/2018 6:35 PM",2018
"her.27.3a47d","2017","5","-0.08199949","0.08988247","No","0.1053673","No","probably oldest fish not estimated well","8/17/2018 3:10 PM",2018
"her.27.6a7bc","2017","5","0.053","0.152","No","0.873","No","Of more concern than the pattern of bias in the SSB is the reduction quite far back in the time series (~1983) which the most recent assessment introduces.","8/17/2018 3:15 PM",2018
"san.sa.1r","2017","5","-0.29","0.82","No","0","No","The model is the SMS model. This model use so-called ""separability"" periods, meaning that it estimates fixed exploitation patterns for separate periods. The latest period in the time-series is relatively short (2010 and onward). Therefore if the selectivity changes over time the exploitation pattern back to 2010 is updated (re-estimated) every year affecting the years  all the way back to 2010. However, sure we need to look further into this.","8/17/2018 3:16 PM",2018
"san.sa.2r","2017","5","-0.32","0.11","No","1.16","No","The model is the SMS model. This model use so-called ""separability"" periods, meaning that it estimates fixed exploitation patterns for separate periods. The latest period in the time-series is relatively short (2010 and onward). Therefore if the selectivity changes over time the exploitation pattern back to 2010 is updated (re-estimated) every year affecting the years  all the way back to 2010. However, sure we need to look further into this.There are also some indications that when the concentrations of sandeel is high during the survey, the survey index overestimates the true abundance (i.e. non-linear relationship between abundance and catch rates in survey). This has been shown in Johnsen et al. 2009.","8/17/2018 3:16 PM",2018
"san.sa.3r","2017","5","0","1","No","135","No","The model is the SMS model. This model use so-called ""separability"" periods, meaning that it estimates fixed exploitation patterns for separate periods. The latest period in the time-series is relatively short (2010 and onward). Therefore if the selectivity changes over time the exploitation pattern back to 2010 is updated (re-estimated) every year affecting the years  all the way back to 2010. However, sure we need to look further into this.There are also some indications that when the concentrations of sandeel is high during the survey, the survey index overestimates the true abundance (i.e. non-linear relationship between abundance and catch rates in survey). This has been shown in Johnsen et al. 2009.","3/22/2018 12:58 PM",2018
"san.sa.4","2017","5","0.07","-0.17","No","-0.08","No","","8/17/2018 3:18 PM",2018
"her.27.irls","2017","5","0.221","-0.116","No","0.518","No","","3/28/2018 1:21 PM",2018
"spr.27.4","2017","5","0.1","0.43","No","0.78","No","The high rho for recruitment has to do with the overestimation of recruitment that is made in some years by the IBTS Q1 index, which is the only information available for the most recent recruitment. We can see that recruitment is sometimes down-scaled in the following year when information from HERAS and IBTS-Q3 becomes available, simply because in some years IBTS Q1 does not agree with the other surveys.","4/3/2018 8:34 AM",2018
"her.27.3031","2017","3","-0.131","0.144","No","0.479","No","","4/10/2018 5:15 PM",2018
"sol.27.20-24","2017","5","-0.19","0.21","No","0.16","No","1.poor sampling due to small and scattered fishery2. fishery/stock mix between SD20 and North Sea","4/10/2018 5:25 PM",2018
"ple.27.21-23","2017","5","-0.21","0.25","No","-0.39","No","","8/17/2018 3:17 PM",2018
