"StockDatabaseID","StockKey","stock","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","year","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
1590,169059,"aru.27.5a14","Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136490,"arg-icel",2018,"Argentina silus","Greater silver smelt","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","3.3",2018,1,2019,"Survey trends-based assessment",NA,"PA","Catches","not used","No","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.4",9503,"2018-09-11T12:10:20.473+01:00"
1591,169061,"bli.27.5a14","Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136492,"bli-5a14",2018,"Molva dypterygia","Blue ling","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","3.3",2018,1,2019,"Survey trends-based assessment",NA,"PA","Catches","not used","Yes in year(s) 2018","demersal piscivore","Demersal","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.7",9896,"2018-11-14T09:07:14.227+01:00"
1592,169062,"bli.27.5b67","Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)",136493,"bli-5b67",2018,"Molva dypterygia","Blue ling","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","1",2018,2,2020,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)",NA,"MSY","Catches","not used","NA","demersal piscivore","Demersal","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.8",9467,"2018-11-14T09:07:44.273+01:00"
1593,169063,"bli.27.nea","Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)",136495,"bli-oth",2018,"Molva dypterygia","Blue ling","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","5.3",2017,2,2019,"Catch trends-based assessment",NA,"PA","Catches","not used","No","demersal piscivore","Demersal","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.9",NA,"2018-12-06T15:35:40.727+01:00"
1594,169064,"bll.27.22-32","Brill (Scophthalmus rhombus) in subdivisions 22-32 (Baltic Sea)",136496,"bll-2232",2018,"Scophthalmus rhombus","Brill","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group","3.2",2017,3,2020,"Survey trends-based assessment",NA,"PA/Stock status only","Catches","Assessment","Yes in year(s) 2013, 2017","demersal piscivore","Benthic","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","8.3.2",NA,"2018-11-15T11:54:49.75+01:00"
1595,169065,"bll.27.3a47de","Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d-e (North Sea, Skagerrak and Kattegat, English Channel)",136497,"bll-nsea",2018,"Scophthalmus rhombus","Brill","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","3.2",2017,2,2019,"Commercial lpue trends-based assessment",NA,"PA","Catches","assessment","No","demersal piscivore","Benthic","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","6.3.1",NA,"2018-11-14T09:09:04.72+01:00"
1596,169066,"boc.27.6-8","Boarfish (Capros aper) in subareas 6-8 (Celtic Seas, English Channel, and Bay of Biscay) ",136499,"boc-nea",2018,"Capros aper","Boarfish","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","3.2",2017,2,2019,"Exploratory Bayesian Schaefer surplus production model",NA,"PA","Catches","assessment","Yes in year(s) 2016","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.10",NA,"2018-11-14T09:09:37.917+01:00"
1597,169068,"bsk.27.nea","Basking shark (Cetorhinus maximus) in Subareas 1-10, 12 and 14 (Northeast Atlantic and adjacent waters)",136504,"bsk-nea",2018,"Cetorhinus maximus","Basking shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2015,4,2019,"no assessment",NA,"PA","No directed fisheries","not used","No","pelagic planktivore","Elasmobranch","large sharks",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.17",NA,"2018-11-14T09:10:52.45+01:00"
1598,169073,"cap.27.1-2","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",136506,"cap-bars",2018,"Mallotus villosus","Capelin","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGCAP","Barents Sea Capelin Advice Drafting Group","1.8",2018,1,2019,"Age-structured model, based on acoustic survey and prediction six months ahead to calculate spawning biomass. The model estimates maturity, growth, and mortality (including predation by immature cod on pre-spawning capelin). Target escapement strateg",NA,"MP","Catches","not used","NA","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-02-21T12:44:45.287+01:00","3.3.2",10193,"2018-12-11T10:10:44.327+01:00"
1599,169074,"cap.27.2a514","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",136507,"cap-icel",2018,"Mallotus villosus","Capelin","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","NWWG","North-Western Working Group","ADGICAP","Icelandic Capelin Advice Drafting Group","1.8",2017,1,2018,"Age-structured model, takes into account CV in surveys and predation from cod, haddock, and saithe of capelin and p(SSB< Blim|Catch)< 0.05",NA,"PA","Quota","not used","NA","na","Pelagic","na",TRUE,"2022-02-21T12:44:45.287+01:00","2.3.1",10300,"2019-03-07T13:13:17.803+01:00"
